-12 : 0.0000000000 ,-11 : 0.0000000000 ,-10 : 665.8594968319 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.7982094288 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.4281244278 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-10 : 666.0610671043 ,-9 : 0.0000000000 ,-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 667.0485961437 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.6570909023 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-8 : 0.0000000000 ,-7 : 0.0000000000 ,-6 : 666.2877366543 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8733680248 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8408026695 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
-6 : 666.4859573841 ,-5 : 0.0000000000 ,-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 667.0722403526 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 667.0502464771 ,3 : 0.0000000000 ,4 : 0.0000000000 ,
